Product ID,Product Name,Category,Quantity Sold,Unit Price,Total Sales
101,Wireless Mouse,Electronics,150,19.99,2998.5
102,Mechanical Keyboard,Electronics,75,49.99,3749.25
103,Notebook 200 Pages,Stationery,300,3.5,1050
104,Ballpoint Pen Pack,Stationery,500,1.25,625
105,Ceramic Coffee Mug,Kitchenware,200,7.99,1598
106,"Stainless Steel
Bottle",Kitchenware,100,15.99,1599
107,Gaming Headset,Electronics,50,79.99,3999.5
108,"Smartphone 
Stand",Accessories,180,9.99,1798.2
109,Laptop Backpack,Accessories,60,49.99,2999.4
110,Desk Lamp,Home Decor,90,24.99,2249.1
111,"Wireless
Charger",Electronics,120,29.99,3598.8
112,Tablet Cover,Accessories,80,19.99,1599.2
113,Yoga Mat,Fitness,150,24.99,3748.5
114,"Dumbbell
Set",Fitness,40,49.99,1999.6
115,LED Fairy Lights,Home Decor,200,12.99,2598
116,Air Purifier,Home Appliances,50,99.99,4999.5
117,Blender,Kitchenware,70,49.99,3499.3
118,"Portable Power
Bank",Electronics,130,39.99,5198.7
119,Travel Pillow,Accessories,90,14.99,1349.1
120,"Wall
Clock",Home Decor,85,29.99,2549.15